2011762899 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2011926277 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012118927 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012298369 = Verdict: Unsolved ; Iters: 19442461 ; Length: -1
2012299229 = Verdict: Unsolved ; Iters: 11533836 ; Length: -1
2012304005 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012372169 = Verdict: Unsolved ; Iters: 14211429 ; Length: -1
2012392028 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012393726 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012471561 = Verdict: Unsolved ; Iters: 13137718 ; Length: -1
2012500878 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012543778 = Verdict: Unsolved ; Iters: 18449901 ; Length: -1
2012610806 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2012735904 = Verdict: Unsolved ; Iters: 11534771 ; Length: -1
2012815203 = Verdict: Unsolved ; Iters: 18920644 ; Length: -1
2013000828 = Verdict: Unsolved ; Iters: 14828864 ; Length: -1
2013002733 = Verdict: Unsolved ; Iters: 19002741 ; Length: -1
2013035673 = Verdict: Unsolved ; Iters: 15369435 ; Length: -1
2013084039 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013225028 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013297658 = Verdict: Unsolved ; Iters: 18916664 ; Length: -1
2013417315 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013504197 = Verdict: Unsolved ; Iters: 19117478 ; Length: -1
2013512625 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013515279 = Verdict: Unsolved ; Iters: 10010724 ; Length: -1
2013588104 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2013703561 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014026736 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014033846 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014062939 = Verdict: Unsolved ; Iters: 11683142 ; Length: -1
2014091907 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014103593 = Verdict: Unsolved ; Iters: 14826633 ; Length: -1
2014108134 = Verdict: Unsolved ; Iters: 15570698 ; Length: -1
2014277739 = Verdict: Unsolved ; Iters: 10688499 ; Length: -1
2014455762 = Verdict: Unsolved ; Iters: 13908477 ; Length: -1
2014531744 = Verdict: Unsolved ; Iters: 11637557 ; Length: -1
2014557275 = Verdict: Unsolved ; Iters: 10772281 ; Length: -1
2014695390 = Verdict: Unsolved ; Iters: 13273565 ; Length: -1
2014711244 = Verdict: Unsolved ; Iters: 12564217 ; Length: -1
2014828012 = Verdict: Unsolved ; Iters: 16247845 ; Length: -1
2014872491 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014876914 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014980071 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2014997522 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015149225 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015240264 = Verdict: Unsolved ; Iters: 19401704 ; Length: -1
2015247981 = Verdict: Unsolved ; Iters: 13023107 ; Length: -1
2015353207 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015468375 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015495845 = Verdict: Unsolved ; Iters: 10112687 ; Length: -1
2015587670 = Verdict: Unsolved ; Iters: 10930400 ; Length: -1
2015643609 = Verdict: Unsolved ; Iters: 17028635 ; Length: -1
2015816338 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015975791 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2015998354 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016018480 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016181855 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016287730 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016386727 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016395687 = Verdict: Unsolved ; Iters: 15453653 ; Length: -1
2016469809 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016492852 = Verdict: Unsolved ; Iters: 13454030 ; Length: -1
2016506111 = Verdict: Unsolved ; Iters: 18669439 ; Length: -1
2016718601 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016744945 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016867988 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
2016892093 = Verdict: Unsolved ; Iters: 10837524 ; Length: -1
2016899710 = Verdict: Intractable ; Iters: 20000000 ; Length: -1
